Sample,Q6NW34;Q6NW34-2(NEPRO),O75683(SURF6),Q07020;Q07020-2(RPL18),,,,,
Parental-FANCI-1,13.58554942,16.866289,17.689002,,,,,
Parental-FANCI-2,13.7561393,16.750419,17.75055,,,,,
Parental-FANCI-3,13.10059664,16.525781,17.772753,,,,,
KSx1-FANCI-1,0,17.000968,18.201942,,,,,
KSx1-FANCI-2,0,16.900655,18.173628,,,,,
KSx1-FANCI-3,0,16.843406,18.096972,,,,,
KSx2-FANCI-2,13.22565934,17.136511,18.388942,,,,,
KSx2-FANCI-3,0,16.553569,18.2427,,,,,
noKS-FANCI-1,13.76414592,17.162313,17.967136,,,,,
noKS-FANCI-2,14.10958583,17.112786,18.180201,,,,,
noKS-FANCI-3,13.88120958,17.016068,17.844877,,,,,
F_G-FANCI-1,14.02418737,16.874357,18.199308,,,,,
F_G-FANCI-2,14.11918431,16.954355,17.988319,,,,,
F_G-FANCI-3,13.86640962,16.122585,18.1995,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
