sample,group,replicate
ActD-FANCI-1,ActD_FANCI,1
ActD-FANCI-2,ActD_FANCI,2
ActD-FANCI-3,ActD_FANCI,3
#ActD-FANCI-4,ActD_FANCI,4
ActD-input-1,ActD_input,1
ActD-input-2,ActD_input,2
ActD-input-3,ActD_input,3
#ActD-input-4,ActD_input,4
F_G-FANCI-1,F_G_FANCI,1
F_G-FANCI-2,F_G_FANCI,2
F_G-FANCI-3,F_G_FANCI,3
#F_G-FANCI-4,F_G_FANCI,4
F_G-input-1,F_G_input,1
F_G-input-2,F_G_input,2
F_G-input-3,F_G_input,3
#F_G-input-4,F_G_input,4
KSx1-FANCI-1,KSx1_FANCI,1
KSx1-FANCI-2,KSx1_FANCI,2
KSx1-FANCI-3,KSx1_FANCI,3
#KSx1-FANCI-4,KSx1_FANCI,4
KSx1-input-1,KSx1_input,1
KSx1-input-2,KSx1_input,2
KSx1-input-3,KSx1_input,3
#KSx1-input-4,KSx1_input,4
#KSx2-FANCI-1,KSx2_FANCI,1
KSx2-FANCI-2,KSx2_FANCI,2
KSx2-FANCI-3,KSx2_FANCI,3
#KSx2-FANCI-4,KSx2_FANCI,4
#KSx2-input-1,KSx2_input,1
KSx2-input-2,KSx2_input,2
KSx2-input-3,KSx2_input,3
#KSx2-input-4,KSx2_input,4
noKS-FANCI-1,noKS_FANCI,1
noKS-FANCI-2,noKS_FANCI,2
noKS-FANCI-3,noKS_FANCI,3
#noKS-FANCI-4,noKS_FANCI,4
noKS-input-1,noKS_input,1
noKS-input-2,noKS_input,2
noKS-input-3,noKS_input,3
#noKS-input-4,noKS_input,4
Parental-FANCI-1,Parental_FANCI,1
Parental-FANCI-2,Parental_FANCI,2
Parental-FANCI-3,Parental_FANCI,3
#Parental-FANCI-4,Parental_FANCI,4
Parental-input-1,Parental_input,1
Parental-input-2,Parental_input,2
Parental-input-3,Parental_input,3
#Parental-input-4,Parental_input,4
