Proteins,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour
AAAS,S4,-1.003351823401594,-1.1548946843446701,0.9303367068619625,0.4855426611386021,0.16183294649496652,tomato2
AACS,C4,2.1716568998478594,0.13246046065681216,-1.039463437619815,-1.1326558479910998,-1.3217619274410082,deepskyblue2
AAK1,C3,1.8556445452805304,0.100152809854057,-0.660551115879997,-0.36985132264866083,-0.6741958923612094,cyan
AARS,C4,2.1012830603138166,0.05855810625066149,-1.0439250130145636,-1.084519712142023,-1.2180978560204196,deepskyblue2
AASDHPPT,C5,1.7065897423831686,0.5150706110365665,-0.719659426288439,-0.6526720064443166,-1.005984147532022,turquoise3
AATF,N3,-0.8922052589519158,-1.1010186357788991,1.220207025577607,0.05316806549448242,0.1898675509017509,grey50
ABCA2,S1,-0.5363064280571553,-1.006448182014692,-0.00330709314370815,0.6449351457494182,0.7751739148143891,gold
ABCB10,M2,-1.0326053185823993,-1.2629980668278535,0.4119407841525625,1.0798709560610653,-0.09630037613927792,tan4
ABCB7,M2,-1.2286075254895992,-1.3208060266728057,0.38006810538630154,1.1621185534438139,-0.12401716248828845,tan4
ABCB8,M2,-0.9248295605528805,-1.2164685552582957,0.39141569077987803,1.0275070346234427,-0.12715216790135841,tan4
ABCC1,S4,-1.2544830717632172,-1.6116621143614485,0.6957114351107963,0.9318936234066755,-0.07257603233447468,tomato2
ABCC10,S1,-1.1477329064719373,-1.133689812446902,-0.23617437717557943,0.8374099578520472,1.007616397176008,gold
ABCC3,S4,-0.6735483817782266,-0.9241968686145863,0.556003308857157,0.7120303080191489,0.24145535709864974,tomato2
ABCC4,S4,-0.9222348447427635,-1.1917779946794276,0.4936108855605773,0.9242292776838106,0.14294456101375552,tomato2
ABCC5,S4,-0.9141110792564218,-1.157566026712602,0.45737577904231286,0.8183395561418105,0.401903796037143,tomato2
ABCD1,S3,-0.8073895599279793,-0.791474797132915,-0.06152257548740119,0.8977051581350801,0.33230499303153627,salmon
ABCD3,S2,-1.0885495421970544,-1.3361115141137585,-0.03534163201046382,0.9674537766875679,0.45065010071396583,orange
ABCD4,S1,-0.7436842560044092,-1.2167108464182692,-0.026234088458123486,0.7248775871529611,0.8422764518111411,gold
ABHD12,S2,-0.9726290120384313,-1.1839607646739638,0.21812394570780747,0.8657180113550853,0.5812616385240628,orange
ABHD13,S1,-1.0307012956401957,-1.1956344090791229,-0.1029465021511013,0.8812386126710271,0.8821188144416242,gold
ABHD14B,C3,1.6619852010164258,0.3803696941638755,-0.5733428467704913,-0.6153745676016631,-0.7431442301695383,cyan
ABHD16A,S3,-0.5123933963589724,-0.7702089759208692,0.18164170294281584,0.7572844067153695,0.41002685207792616,salmon
ABHD17C,S1,-0.7186872376132467,-1.3502656040831604,0.15387126308756854,0.4985549687113924,0.8695746818196559,gold
ABHD2,S2,-0.7615101466091125,-1.2489354619198891,0.17696196665417496,0.8460911448495172,0.5824578598443046,orange
ABHD6,S2,-1.128766622332049,-1.1768745682558348,0.36071662448633934,0.8430886979359842,0.5946649650456608,orange
ABL1,C2,1.204252305235397,0.39347082391239596,-0.29277178173486595,-0.14382837163016965,-0.32150610417805603,aquamarine
ABL2,C3,1.614887956655612,0.10531672123659094,-0.4305423246761432,-0.23240169112998355,-0.6066917514456407,cyan
ABR,C1,1.6388298481563124,0.0065786790474071585,-0.4901483695203688,-0.23718389405708928,-0.5111560793893083,lightblue
ABRACL,C4,2.226182583658604,-0.3220825662189267,-1.5195714311746251,-1.7963971931125462,-2.0552722199402695,deepskyblue2
ABT1,N3,-1.0827647776155755,-0.87076331172498,1.0734247633585512,-0.03641089849549795,0.28591547133539363,grey50
ACAD9,M1,-1.1609582952548683,-0.7525229713258952,0.39296031348120863,1.016763079714931,-0.36734738747331386,burlywood4
ACAP2,C3,1.7649131255804638,0.07904178474793251,-0.7069849441440762,-0.5712249406927624,-0.6725205711690012,cyan
ACAT2,C5,1.8975712156665274,0.5429910758263122,-0.9012855408661925,-1.0198929389097493,-1.1087697369250966,turquoise3
ACBD4,S2,-2.103992826733264,-1.7021660072994185,0.11928947399390458,1.088686936123414,0.584652477434247,orange
ACBD5,S2,-1.215025525089743,-1.394396659649027,0.03939920786147143,1.0561159602461103,0.3805984711130124,orange
ACBD6,C5,2.1279061561260644,0.2728925669467354,-0.7822772049641618,-0.8649935675509693,-1.131186226215274,turquoise3
ACIN1,N2,-0.9783058829857583,-0.5383780231258762,1.1024331008795478,0.006031945999795427,-0.12460001024130223,grey70
ACLY,C5,1.5640693432190003,0.8176615495406219,-0.7792659508189181,-0.8191016849067378,-0.4676226309228181,turquoise3
ACOT11,C4,1.9657044200253422,0.2848564916066707,-0.9880952736063928,-0.7444061758323613,-1.157155907993932,deepskyblue2
ACP1,C4,2.033376851816553,0.05493007429730068,-0.9347996608964888,-0.8192488207417612,-1.0938397414347054,deepskyblue2
ACPL2,S1,-0.42525229253134633,-0.8024956650260188,0.1309375681792465,0.6742770456011031,0.8724676618889913,gold
ACSL1,S3,-0.8824290886524992,-0.798128662013049,0.2679318320236005,0.8508503297314107,0.4174713001825156,salmon
ACSL3,S2,-1.277469713097885,-1.4501566300102597,0.15197010402731437,0.9269760564606557,0.5837648329112112,orange
ACSL4,S3,-0.8240421672989282,-0.6243186414706299,0.09810720138772605,0.8701148094363385,0.45397386160029884,salmon
ACSS2,C5,1.629526296284404,0.6961273971245401,-0.8247248681389988,-0.9146377275090963,-1.3155373223641713,turquoise3
ACTR10,C2,1.5419103235455367,0.17182468339499832,-0.5665273738484723,-0.2709749747395127,-0.11906415992050931,aquamarine
ACVR1,S4,-0.6019845965075457,-1.337924313529369,0.25188570118305526,0.9072480399841218,0.369705193345574,tomato2
ACYP1,C4,2.4123085179255073,-0.22184938684382932,-1.545509244285837,-1.631307310250675,-1.9219492720811853,deepskyblue2
ACYP2,C1,1.5297319299502612,0.03800565398335989,-0.3925243441421942,0.12007614441523783,-1.2228031773337973,lightblue
