From	Entry	Reviewed	Entry Name	Protein names	Gene Names	GeneID	Ensembl	Gene Ontology (molecular function)	Gene Ontology (biological process)	Gene Ontology (cellular component)
Q9UG39	A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	23347;	ENST00000320876.11 [A6NHR9-1];	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; protein homodimerization activity [GO:0042803]	chromosome organization [GO:0051276]; dosage compensation by inactivation of X chromosome [GO:0009048]; double-strand break repair [GO:0006302]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; nose development [GO:0043584]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]	Barr body [GO:0001740]; site of double-strand break [GO:0035861]
Q9BVP6	O00148	reviewed	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	10212;	ENST00000242776.9 [O00148-1];ENST00000324340.13 [O00148-2];ENST00000454233.6 [O00148-3];ENST00000588692.5 [O00148-3];	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]	cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00422	O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	10284;	ENST00000382533.9 [O00422-2];ENST00000607003.5 [O00422-1];ENST00000621421.4 [O00422-2];	RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]	mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA splicing [GO:0008380]	ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00505	O00505	reviewed	IMA4_HUMAN	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	KPNA3 QIP2	3839;	ENST00000261667.8;	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]	NLS-bearing protein import into nucleus [GO:0006607]; protein import into nucleus [GO:0006606]; protein-containing complex assembly [GO:0065003]; symbiont entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]	cytosol [GO:0005829]; host cell [GO:0043657]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00541	O00541	reviewed	PESC_HUMAN	Pescadillo homolog	PES1	23481;	ENST00000335214.8 [O00541-2];ENST00000354694.12 [O00541-1];	ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]	cell population proliferation [GO:0008283]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; regulation of cell cycle [GO:0051726]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]	chromosome [GO:0005694]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]
O00566	O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	10199;	ENST00000244230.7;	RNA binding [GO:0003723]	maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit biogenesis [GO:0042274]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	chromosome [GO:0005694]; Mpp10 complex [GO:0034457]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]
O00567	O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	10528;	ENST00000329276.10;	cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]	ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	box C/D methylation guide snoRNP complex [GO:0031428]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; pre-snoRNP complex [GO:0070761]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]
O00571	O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	1654;	ENST00000457138.7 [O00571-2];ENST00000478993.5 [O00571-1];ENST00000629496.3 [O00571-1];ENST00000629785.2 [O00571-1];ENST00000630255.2 [O00571-1];ENST00000644876.2 [O00571-1];	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cadherin binding [GO:0045296]; CTPase activity [GO:0043273]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; eukaryotic initiation factor 4E binding [GO:0008190]; gamma-tubulin binding [GO:0043015]; GTPase activity [GO:0003924]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; protein serine/threonine kinase activator activity [GO:0043539]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; signaling adaptor activity [GO:0035591]; transcription factor binding [GO:0008134]; translation initiation factor binding [GO:0031369]	cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; cytosolic ribosome assembly [GO:0042256]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of translational initiation [GO:0045948]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055]	cell leading edge [GO:0031252]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; lamellipodium [GO:0030027]; NLRP3 inflammasome complex [GO:0072559]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]
O00629	O00629	reviewed	IMA3_HUMAN	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	KPNA4 QIP1	3840;	ENST00000334256.9;	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]	dopamine secretion [GO:0014046]; gene expression [GO:0010467]; NLS-bearing protein import into nucleus [GO:0006607]; protein import into nucleus [GO:0006606]	cytosol [GO:0005829]; NLS-dependent protein nuclear import complex [GO:0042564]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O14776	O14776	reviewed	TCRG1_HUMAN	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	TCERG1 CA150 TAF2S	10915;	ENST00000296702.9 [O14776-1];ENST00000394421.7 [O14776-2];	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; transcription elongation factor activity [GO:0003711]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]	mRNA processing [GO:0006397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; RNA splicing [GO:0008380]	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
