ProteinID,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour,ProteinsName_Subcell,Entry Name,Protein names,Gene Names,GeneID,Ensembl,Gene Ontology (molecular function),Gene Ontology (biological process),Gene Ontology (cellular component)
Q9NRG9,S4,-1.003351823,-1.154894684,0.930336707,0.485542661,0.161832946,tomato2,AAAS,AAAS_HUMAN,Aladin (Adracalin),AAAS ADRACALA GL003,8086;,"ENST00000209873.9; ENSP00000209873.4; ENSG00000094914.14. [Q9NRG9-1];""ENST00000394384.7; ENSP00000377908.3; ENSG00000094914.14. [Q9NRG9-2]"";""ENST00000708962.1; ENSP00000517437.1; ENSG00000291836.1. [Q9NRG9-2]"";""ENST00000708963.1; ENSP00000517438.1; ENSG00000291836.1. [Q9NRG9-1]"";",0,fertilization [GO:0009566]; learning [GO:0007612]; microtubule bundle formation [GO:0001578]; mitotic spindle assembly [GO:0090307]; mRNA transport [GO:0051028]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]; regulation of nucleocytoplasmic transport [GO:0046822],centrosome [GO:0005813]; cytosol [GO:0005829]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q86V21,C4,2.1716569,0.132460461,-1.039463438,-1.132655848,-1.321761927,deepskyblue2,AACS,AACS_HUMAN,Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog),AACS ACSF1,65985;,ENST00000316519.11; ENSP00000324842.6; ENSG00000081760.17. [Q86V21-1];,acetoacetate-CoA ligase activity [GO:0030729]; ATP binding [GO:0005524],fatty acid metabolic process [GO:0006631]; ketone body biosynthetic process [GO:0046951]; positive regulation of insulin secretion [GO:0032024],cytosol [GO:0005829]
Q2M2I8,C3,1.855644545,0.10015281,-0.660551116,-0.369851323,-0.674195892,cyan,AAK1,AAK1_HUMAN,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),AAK1 KIAA1048,22848;,"ENST00000406297.7; ENSP00000385181.3; ENSG00000115977.21. [Q2M2I8-2];""ENST00000409085.9; ENSP00000386456.3; ENSG00000115977.21. [Q2M2I8-1]"";",AP-2 adaptor complex binding [GO:0035612]; ATP binding [GO:0005524]; Notch binding [GO:0005112]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],membrane organization [GO:0061024]; positive regulation of Notch signaling pathway [GO:0045747]; presynaptic endocytosis [GO:0140238]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of clathrin-dependent endocytosis [GO:2000369]; regulation of protein localization [GO:0032880],cell leading edge [GO:0031252]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; terminal bouton [GO:0043195]
P49588,C4,2.10128306,0.058558106,-1.043925013,-1.084519712,-1.218097856,deepskyblue2,AARS,SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)",AARS1 AARS,16;,"ENST00000261772.13; ENSP00000261772.8; ENSG00000090861.17. [P49588-1];""ENST00000674691.1; ENSP00000502247.1; ENSG00000090861.17. [P49588-1]"";""ENST00000674963.1; ENSP00000501924.1; ENSG00000090861.17. [P49588-1]"";""ENST00000675643.1; ENSP00000502797.1; ENSG00000090861.17. [P49588-1]"";",alanine-tRNA ligase activity [GO:0004813]; amino acid binding [GO:0016597]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; Ser-tRNA(Ala) hydrolase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270],alanyl-tRNA aminoacylation [GO:0006419]; cerebellar Purkinje cell layer development [GO:0021680]; negative regulation of neuron apoptotic process [GO:0043524]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; regulation of cytoplasmic translational fidelity [GO:0140018]; tRNA aminoacylation for protein translation [GO:0006418]; tRNA modification [GO:0006400]; tRNA processing [GO:0008033],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]
Q9NRN7,C5,1.706589742,0.515070611,-0.719659426,-0.652672006,-1.005984148,turquoise3,AASDHPPT,ADPPT_HUMAN,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.7) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog),AASDHPPT CGI-80 HAH-P HSPC223 x0005,60496;,"ENST00000278618.9; ENSP00000278618.4; ENSG00000149313.11. [Q9NRN7-1];""ENST00000525660.1; ENSP00000437144.1; ENSG00000149313.11. [Q9NRN7-2]"";",holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287],10-formyltetrahydrofolate catabolic process [GO:0009258]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; pantothenate metabolic process [GO:0015939]; protein maturation [GO:0051604],cytosol [GO:0005829]; extracellular exosome [GO:0070062]
Q9NY61,N3,-0.892205259,-1.101018636,1.220207026,0.053168065,0.189867551,grey50,AATF,AATF_HUMAN,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1),AATF CHE1 DED HSPC277,26574;,"ENST00000619387.5; ENSP00000477848.1; ENSG00000275700.6.;""ENST00000620004.2; ENSP00000481894.1; ENSG00000276072.2."";",leucine zipper domain binding [GO:0043522]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; tau protein binding [GO:0048156],cell adhesion [GO:0007155]; embryonic cleavage [GO:0040016]; negative regulation of amyloid precursor protein biosynthetic process [GO:0042985]; negative regulation of apoptotic signaling pathway [GO:2001234]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of mitotic cell cycle [GO:0007346]; regulation of transcription by RNA polymerase II [GO:0006357]; ribosomal small subunit biogenesis [GO:0042274],cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]; transcription regulator complex [GO:0005667]
Q9BZC7,S1,-0.536306428,-1.006448182,-0.003307093,0.644935146,0.775173915,gold,ABCA2,ABCA2_HUMAN,ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2),ABCA2 ABC2 KIAA1062,20;,"ENST00000341511.11; ENSP00000344155.6; ENSG00000107331.18. [Q9BZC7-3];""ENST00000371605.7; ENSP00000360666.3; ENSG00000107331.18. [Q9BZC7-1]"";""ENST00000614293.5; ENSP00000481105.2; ENSG00000107331.18. [Q9BZC7-4]"";",ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ceramide floppase activity [GO:0099038]; endopeptidase regulator activity [GO:0061135]; lipid transporter activity [GO:0005319]; nucleotide binding [GO:0000166],central nervous system myelin formation [GO:0032289]; ceramide translocation [GO:0099040]; cholesterol homeostasis [GO:0042632]; ganglioside metabolic process [GO:0001573]; glycosphingolipid metabolic process [GO:0006687]; intracellular sphingolipid homeostasis [GO:0090156]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; locomotory behavior [GO:0007626]; negative regulation of cholesterol efflux [GO:0090370]; negative regulation of intracellular cholesterol transport [GO:0032384]; negative regulation of low-density lipoprotein receptor activity [GO:1905598]; negative regulation of phospholipid biosynthetic process [GO:0071072]; negative regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905601]; negative regulation of sphingolipid biosynthetic process [GO:0090155]; negative regulation of steroid metabolic process [GO:0045939]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of low-density lipoprotein particle receptor catabolic process [GO:0032805]; regulation of intracellular cholesterol transport [GO:0032383]; regulation of post-translational protein modification [GO:1901873]; regulation of protein glycosylation [GO:0060049]; regulation of protein localization to cell periphery [GO:1904375]; regulation of protein localization to cell surface [GO:2000008]; regulation of steroid metabolic process [GO:0019218]; response to cholesterol [GO:0070723]; response to steroid hormone [GO:0048545]; response to xenobiotic stimulus [GO:0009410]; sphingomyelin metabolic process [GO:0006684]; sphingosine biosynthetic process [GO:0046512]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104],ATP-binding cassette (ABC) transporter complex [GO:0043190]; cytoplasmic vesicle [GO:0031410]; endosome [GO:0005768]; endosome membrane [GO:0010008]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]
Q9NRK6,M2,-1.032605319,-1.262998067,0.411940784,1.079870956,-0.096300376,tan4,ABCB10,ABCBA_HUMAN,"ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)",ABCB10,23456;,ENST00000344517.5; ENSP00000355637.3; ENSG00000135776.5.;,ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein homodimerization activity [GO:0042803],erythrocyte development [GO:0048821]; heme biosynthetic process [GO:0006783]; mitochondrial transport [GO:0006839]; mitochondrial unfolded protein response [GO:0034514]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of hemoglobin biosynthetic process [GO:0046985],mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
O75027,M2,-1.228607525,-1.320806027,0.380068105,1.162118553,-0.124017162,tan4,ABCB7,ABCB7_HUMAN,"Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial) (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",ABCB7 ABC7,22;,"ENST00000253577.9; ENSP00000253577.3; ENSG00000131269.19. [O75027-2];""ENST00000339447.8; ENSP00000343849.4; ENSG00000131269.19. [O75027-3]"";""ENST00000373394.8; ENSP00000362492.3; ENSG00000131269.19. [O75027-1]"";",ABC-type iron-sulfur cluster transporter activity [GO:0140481]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; heme transmembrane transporter activity [GO:0015232]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803],intracellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]; iron-sulfur cluster assembly [GO:0016226]; iron-sulfur cluster export from the mitochondrion [GO:0140466]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of heme biosynthetic process [GO:0070455]; positive regulation of iron-sulfur cluster assembly [GO:1903331]; transmembrane transport [GO:0055085],mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9NUT2,M2,-0.924829561,-1.216468555,0.391415691,1.027507035,-0.127152168,tan4,ABCB8,MITOS_HUMAN,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",ABCB8 MABC1 MITOSUR,11194;,"ENST00000297504.10; ENSP00000297504.6; ENSG00000197150.13. [Q9NUT2-1];""ENST00000358849.9; ENSP00000351717.4; ENSG00000197150.13. [Q9NUT2-2]"";""ENST00000498578.5; ENSP00000418271.1; ENSG00000197150.13. [Q9NUT2-3]"";""ENST00000542328.5; ENSP00000438776.1; ENSG00000197150.13. [Q9NUT2-4]"";",ABC-type peptide transporter activity [GO:0015440]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],cell volume homeostasis [GO:0006884]; mitochondrial potassium ion transmembrane transport [GO:0140141]; potassium ion transmembrane transport [GO:0071805]; transmembrane transport [GO:0055085],ATP-binding cassette (ABC) transporter complex [GO:0043190]; membrane [GO:0016020]; mitochondrial ATP-gated potassium channel complex [GO:0062157]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
